subject,roi,eccentricity_range,eccentricity_mean,frequency_class,psf,side
0,3,"(21.5, 22.5)",22.0,2,5.8497015534523475,0
0,3,"(21.5, 22.5)",22.0,3,5.8497015534523475,0
0,3,"(22.5, 23.5)",23.0,0,5.565217391304348,0
0,3,"(22.5, 23.5)",23.0,1,3.9565217391304346,0
0,3,"(22.5, 23.5)",23.0,2,5.595366703302245,0
0,3,"(22.5, 23.5)",23.0,3,5.595366703302245,0
0,3,"(23.5, 24.5)",24.0,0,5.333333333333333,0
0,3,"(23.5, 24.5)",24.0,1,3.7916666666666665,0
0,3,"(23.5, 24.5)",24.0,2,5.362226423997985,0
0,3,"(23.5, 24.5)",24.0,3,5.362226423997985,0
0,3,"(24.5, 25.5)",25.0,0,5.12,0
0,3,"(24.5, 25.5)",25.0,1,2.56,0
0,3,"(24.5, 25.5)",25.0,2,5.147737367038065,0
0,3,"(24.5, 25.5)",25.0,3,5.147737367038065,0
0,4,"(1.5, 2.5)",2.0,0,8.0,0
0,4,"(1.5, 2.5)",2.0,1,3.0,0
0,4,"(1.5, 2.5)",2.0,2,4.242640687119285,0
0,4,"(1.5, 2.5)",2.0,3,4.242640687119285,0
0,4,"(2.5, 3.5)",3.0,0,5.333333333333333,0
0,4,"(2.5, 3.5)",3.0,1,2.0,0
0,4,"(2.5, 3.5)",3.0,2,2.82842712474619,0
0,4,"(2.5, 3.5)",3.0,3,2.82842712474619,0
0,4,"(3.5, 4.5)",4.0,0,4.0,0
0,4,"(3.5, 4.5)",4.0,1,1.5,0
0,4,"(3.5, 4.5)",4.0,2,2.1213203435596424,0
0,4,"(3.5, 4.5)",4.0,3,1.4142135623730951,0
0,4,"(4.5, 5.5)",5.0,0,3.2,0
0,4,"(4.5, 5.5)",5.0,1,4.6,0
0,4,"(4.5, 5.5)",5.0,2,1.6970562748477138,0
0,4,"(4.5, 5.5)",5.0,3,1.6970562748477138,0
0,4,"(5.5, 6.5)",6.0,0,7.5,0
0,4,"(5.5, 6.5)",6.0,1,3.8333333333333335,0
0,4,"(5.5, 6.5)",6.0,2,1.414213562373095,0
0,4,"(5.5, 6.5)",6.0,3,1.414213562373095,0
0,4,"(6.5, 7.5)",7.0,0,2.2857142857142856,0
0,4,"(6.5, 7.5)",7.0,1,0.8571428571428571,0
0,4,"(6.5, 7.5)",7.0,2,1.2121830534626528,0
0,4,"(6.5, 7.5)",7.0,3,1.2121830534626528,0
0,4,"(7.5, 8.5)",8.0,0,2.0,0
0,4,"(7.5, 8.5)",8.0,1,16.0,0
0,4,"(7.5, 8.5)",8.0,2,1.0606601717798212,0
0,4,"(7.5, 8.5)",8.0,3,1.0606601717798212,0
0,4,"(8.5, 9.5)",9.0,0,14.222222222222221,0
0,4,"(8.5, 9.5)",9.0,1,14.222222222222221,0
0,4,"(8.5, 9.5)",9.0,2,14.299270463994626,0
0,4,"(8.5, 9.5)",9.0,3,14.299270463994626,0
0,4,"(9.5, 10.5)",10.0,0,1.6,0
0,4,"(9.5, 10.5)",10.0,1,12.8,0
0,4,"(9.5, 10.5)",10.0,2,0.8485281374238569,0
0,4,"(9.5, 10.5)",10.0,3,12.869343417595164,0
0,4,"(10.5, 11.5)",11.0,0,11.636363636363637,0
0,4,"(10.5, 11.5)",11.0,1,2.090909090909091,0
0,4,"(10.5, 11.5)",11.0,2,11.699403106904695,0
0,4,"(10.5, 11.5)",11.0,3,5.785419118799026,0
0,4,"(11.5, 12.5)",12.0,0,5.333333333333333,0
0,4,"(11.5, 12.5)",12.0,1,10.666666666666666,0
0,4,"(11.5, 12.5)",12.0,2,10.72445284799597,0
0,4,"(11.5, 12.5)",12.0,3,10.72445284799597,0
0,4,"(12.5, 13.5)",13.0,0,1.2307692307692308,0
0,4,"(12.5, 13.5)",13.0,1,9.846153846153847,0
0,4,"(12.5, 13.5)",13.0,2,0.43514263457633695,0
0,4,"(12.5, 13.5)",13.0,3,9.899494936611664,0
0,4,"(13.5, 14.5)",14.0,0,9.142857142857142,0
0,4,"(13.5, 14.5)",14.0,1,9.142857142857142,0
0,4,"(13.5, 14.5)",14.0,2,9.192388155425117,0
0,4,"(13.5, 14.5)",14.0,3,9.192388155425117,0
0,4,"(14.5, 15.5)",15.0,0,1.0666666666666667,0
0,4,"(14.5, 15.5)",15.0,1,8.533333333333333,0
0,4,"(14.5, 15.5)",15.0,2,0.3771236166328254,0
0,4,"(14.5, 15.5)",15.0,3,8.579562278396775,0
0,4,"(15.5, 16.5)",16.0,0,1.0,0
0,4,"(15.5, 16.5)",16.0,1,1.4375,0
0,4,"(15.5, 16.5)",16.0,2,0.5303300858899106,0
