subj,bands,freq,side,rois
4,3,3.0237157840738176,0,2
4,4,2.6666666666666665,0,2
4,5,2.412090756622109,0,2
4,6,2.2188007849009166,0,2
4,7,2.065591117977289,0,2
4,8,1.9402850002906638,0,2
4,9,2.176428750330035,0,2
4,10,1.745743121887939,0,2
4,11,1.6681153124565982,0,2
4,12,1.131370849898476,0,2
4,13,1.0886621079036347,0,2
4,14,1.259447059844805,0,2
4,1,4.618802153517006,1,2
4,2,3.5777087639996634,1,2
4,3,3.0237157840738176,1,2
4,4,2.6666666666666665,1,2
4,5,2.860387767736777,1,2
4,6,2.6311740579210876,1,2
4,7,2.449489742783178,1,2
4,8,1.9402850002906638,1,2
4,9,1.8353258709644942,1,2
4,10,1.745743121887939,1,2
4,11,1.6681153124565982,1,2
4,12,1.131370849898476,1,2
4,13,1.539600717839002,1,2
4,14,1.4855627054164149,1,2
5,1,4.618802153517006,0,2
5,2,4.242640687119285,0,2
5,3,3.585685828003181,0,2
5,4,3.1622776601683795,0,2
5,5,2.860387767736777,0,2
5,6,2.6311740579210876,0,2
5,7,2.449489742783178,0,2
5,8,2.3008949665421112,0,2
5,9,2.176428750330035,0,2
5,10,2.0701966780270626,0,2
5,11,1.978141420187361,0,2
5,12,2.262741699796952,0,2
5,13,1.8257418583505538,0,2
5,14,2.1009029257555607,0,2
5,1,3.9157800414902435,1,2
5,2,3.5777087639996634,1,2
5,3,3.585685828003181,1,2
5,4,3.1622776601683795,1,2
5,5,2.860387767736777,1,2
5,6,2.6311740579210876,1,2
5,7,2.449489742783178,1,2
5,8,2.3008949665421112,1,2
5,9,2.176428750330035,1,2
5,10,2.0701966780270626,1,2
5,11,0.7223151185146152,1,2
5,12,0.6928203230275509,1,2
5,13,1.8257418583505538,1,2
5,14,1.7616606585441104,1,2
6,1,3.265986323710904,0,2
6,2,2.5298221281347035,0,2
6,3,2.138089935299395,0,2
6,4,2.260776661041756,0,2
6,5,2.412090756622109,0,2
6,6,1.8810798862519205,0,2
6,7,1.7511900715418263,0,2
6,8,1.6449566416599486,0,2
6,9,1.5559732104309982,0,2
6,10,1.4800257398019099,0,2
6,11,1.4142135623730951,0,2
6,12,1.3564659966250536,0,2
6,13,1.3052600138300812,0,2
6,14,1.259447059844805,0,2
6,1,3.265986323710904,1,2
6,2,2.5298221281347035,1,2
6,3,2.138089935299395,1,2
6,4,2.260776661041756,1,2
6,5,2.04494943258218,1,2
6,6,1.8810798862519205,1,2
6,7,1.7511900715418263,1,2
6,8,1.3719886811400708,1,2
6,9,1.5559732104309982,1,2
6,10,1.4800257398019099,1,2
6,11,1.4142135623730951,1,2
6,12,0.6928203230275509,1,2
6,13,1.3052600138300812,1,2
6,14,1.259447059844805,1,2
7,1,3.9157800414902435,0,2
7,2,3.03315017762062,0,2
7,3,3.0237157840738176,0,2
7,4,2.6666666666666665,0,2
7,5,2.412090756622109,0,2
7,6,2.2188007849009166,0,2
7,7,2.065591117977289,0,2
7,8,1.9402850002906638,0,2
7,9,0.7947194142390263,0,2
7,10,0.7559289460184544,0,2
7,11,0.7223151185146152,0,2
7,12,0.6928203230275509,0,2
7,13,0.6666666666666666,0,2
7,14,1.259447059844805,0,2
7,1,2.70801280154532,1,2
7,2,2.5298221281347035,1,2
7,3,2.5634797778466227,1,2
7,4,2.6666666666666665,1,2
7,5,2.412090756622109,1,2
7,6,2.2188007849009166,1,2
7,7,2.065591117977289,1,2
7,8,1.9402850002906638,1,2
7,9,1.8353258709644942,1,2
7,10,0.7559289460184544,1,2
7,11,0.7223151185146152,1,2
7,12,0.6928203230275509,1,2
7,13,1.539600717839002,1,2
7,14,1.4855627054164149,1,2
8,1,2.0,0,2
8,2,2.5298221281347035,0,2
8,3,3.0237157840738176,0,2
8,4,3.1622776601683795,0,2
8,5,2.860387767736777,0,2
8,6,2.6311740579210876,0,2
8,7,2.449489742783178,0,2
8,8,2.3008949665421112,0,2
8,9,2.176428750330035,0,2
8,10,2.0701966780270626,0,2
8,11,1.978141420187361,0,2
8,12,1.8973665961010275,0,2
8,13,1.8257418583505538,0,2
8,14,1.7616606585441104,0,2
8,1,2.0,1,2
8,2,3.03315017762062,1,2
8,3,3.585685828003181,1,2
8,4,3.1622776601683795,1,2
8,5,2.412090756622109,1,2
8,6,2.6311740579210876,1,2
8,7,2.449489742783178,1,2
8,8,2.3008949665421112,1,2
8,9,2.176428750330035,1,2
8,10,2.0701966780270626,1,2
8,11,1.6681153124565982,1,2
8,12,1.6,1,2
8,13,1.8257418583505538,1,2
8,14,1.7616606585441104,1,2
9,1,2.0,0,2
9,2,3.03315017762062,0,2
9,3,2.5634797778466227,0,2
9,4,2.6666666666666665,0,2
9,5,2.412090756622109,0,2
9,6,2.2188007849009166,0,2
9,7,1.7511900715418263,0,2
9,8,1.9402850002906638,0,2
9,9,2.176428750330035,0,2
9,10,3.491486243775878,0,2
9,11,1.978141420187361,0,2
9,12,1.6,0,2
9,13,1.8257418583505538,0,2
9,14,1.4855627054164149,0,2
9,1,2.70801280154532,1,2
9,2,3.03315017762062,1,2
9,3,3.0237157840738176,1,2
9,4,2.6666666666666665,1,2
9,5,2.860387767736777,1,2
9,6,2.6311740579210876,1,2
9,7,2.449489742783178,1,2
9,8,2.3008949665421112,1,2
9,9,2.5955427380922007,1,2
9,10,2.0701966780270626,1,2
9,11,1.978141420187361,1,2
9,12,1.6,1,2
9,13,1.8257418583505538,1,2
9,14,1.4855627054164149,1,2
10,1,3.265986323710904,0,2
10,2,3.03315017762062,0,2
10,3,2.5634797778466227,0,2
10,4,2.6666666666666665,0,2
10,5,2.412090756622109,0,2
10,6,2.2188007849009166,0,2
10,7,2.065591117977289,0,2
10,8,1.9402850002906638,0,2
10,9,1.8353258709644942,0,2
10,10,1.745743121887939,0,2
10,11,0.7223151185146152,0,2
10,12,0.6928203230275509,0,2
10,13,0.6666666666666666,0,2
10,14,1.4855627054164149,0,2
10,1,3.9157800414902435,1,2
10,2,3.03315017762062,1,2
10,3,2.5634797778466227,1,2
10,4,2.6666666666666665,1,2
10,5,2.04494943258218,1,2
10,6,2.2188007849009166,1,2
10,7,2.065591117977289,1,2
10,8,1.9402850002906638,1,2
10,9,1.8353258709644942,1,2
10,10,1.745743121887939,1,2
10,11,0.7223151185146152,1,2
10,12,0.6928203230275509,1,2
10,13,1.539600717839002,1,2
10,14,1.4855627054164149,1,2
11,1,3.265986323710904,0,2
11,2,2.5298221281347035,0,2
11,3,2.5634797778466227,0,2
11,4,2.6666666666666665,0,2
11,5,2.04494943258218,0,2
11,6,1.8810798862519205,0,2
11,7,1.7511900715418263,0,2
11,8,1.6449566416599486,0,2
11,9,1.8353258709644942,0,2
11,10,1.4800257398019099,0,2
11,11,1.4142135623730951,0,2
11,12,1.3564659966250536,0,2
11,13,1.3052600138300812,0,2
11,14,1.4855627054164149,0,2
11,1,2.70801280154532,1,2
11,2,2.5298221281347035,1,2
11,3,2.138089935299395,1,2
11,4,2.260776661041756,1,2
11,5,2.04494943258218,1,2
11,6,1.8810798862519205,1,2
11,7,1.7511900715418263,1,2
11,8,1.6449566416599486,1,2
11,9,1.8353258709644942,1,2
11,10,1.745743121887939,1,2
11,11,1.6681153124565982,1,2
11,12,1.3564659966250536,1,2
11,13,1.539600717839002,1,2
11,14,1.4855627054164149,1,2
12,1,2.309401076758503,0,2
12,2,2.5298221281347035,0,2
12,3,2.5634797778466227,0,2
12,4,2.6666666666666665,0,2
12,5,2.860387767736777,0,2
12,6,2.6311740579210876,0,2
12,7,2.449489742783178,0,2
12,8,2.3008949665421112,0,2
12,9,2.176428750330035,0,2
12,10,2.0701966780270626,0,2
12,11,2.359071298478354,0,2
12,12,2.6981475126464085,0,2
12,13,1.8257418583505538,0,2
12,14,1.7616606585441104,0,2
12,1,2.309401076758503,1,2
12,2,1.7888543819998317,1,2
12,3,1.7728105208558367,1,2
12,4,2.260776661041756,1,2
12,5,2.412090756622109,1,2
12,6,2.2188007849009166,1,2
12,7,2.065591117977289,1,2
12,8,2.3008949665421112,1,2
12,9,1.8353258709644942,1,2
12,10,1.745743121887939,1,2
12,11,0.7223151185146152,1,2
12,12,3.2,1,2
12,13,0.6666666666666666,1,2
12,14,1.7616606585441104,1,2
1,1,3.9157800414902435,0,3
1,2,3.03315017762062,0,3
1,3,2.5634797778466227,0,3
1,4,2.6666666666666665,0,3
1,5,2.412090756622109,0,3
1,6,2.6311740579210876,0,3
1,7,2.065591117977289,0,3
1,8,0.8401680504168059,0,3
1,9,1.5559732104309982,0,3
1,10,1.745743121887939,0,3
1,11,0.7223151185146152,0,3
1,12,0.6928203230275509,0,3
1,13,1.3052600138300812,0,3
1,14,1.259447059844805,0,3
1,1,3.265986323710904,1,3
1,2,2.5298221281347035,1,3
1,3,2.138089935299395,1,3
1,4,1.1547005383792515,1,3
1,5,2.04494943258218,1,3
1,6,1.8810798862519205,1,3
1,7,1.7511900715418263,1,3
1,8,1.6449566416599486,1,3
1,9,1.5559732104309982,1,3
1,10,1.4800257398019099,1,3
1,11,1.6681153124565982,1,3
1,12,0.6928203230275509,1,3
1,13,1.3052600138300812,1,3
1,14,1.259447059844805,1,3
2,1,3.265986323710904,0,3
2,2,2.5298221281347035,0,3
2,3,2.138089935299395,0,3
2,4,1.5634719199411433,0,3
2,5,1.2060453783110545,0,3
2,6,1.1094003924504583,0,3
2,7,0.8944271909999159,0,3
2,8,0.8401680504168059,0,3
2,9,0.7947194142390263,0,3
2,10,0.7559289460184544,0,3
2,11,0.7223151185146152,0,3
2,12,0.6928203230275509,0,3
2,13,0.6666666666666666,0,3
2,14,0.6432675209026769,0,3
2,1,2.70801280154532,1,3
2,2,2.0976176963403033,1,3
2,3,1.7728105208558367,1,3
2,4,1.5634719199411433,1,3
2,5,1.2060453783110545,1,3
2,6,1.3008872711759818,1,3
2,7,1.2110601416389966,1,3
2,8,0.9701425001453319,1,3
2,9,1.0760551736979407,1,3
2,10,0.8728715609439694,1,3
2,11,0.8340576562282991,1,3
2,12,0.6928203230275509,1,3
2,13,0.6666666666666666,1,3
2,14,0.6432675209026769,1,3
3,1,3.9157800414902435,0,3
3,2,2.5298221281347035,0,3
3,3,2.5634797778466227,0,3
3,4,2.6666666666666665,0,3
3,5,2.04494943258218,0,3
3,6,1.8810798862519205,0,3
3,7,1.7511900715418263,0,3
3,8,1.6449566416599486,0,3
3,9,1.5559732104309982,0,3
3,10,1.4800257398019099,0,3
3,11,0.9780192938436515,0,3
3,12,0.938083151964686,0,3
3,13,0.6666666666666666,0,3
3,14,0.6432675209026769,0,3
3,1,2.70801280154532,1,3
3,2,2.5298221281347035,1,3
3,3,1.7728105208558367,1,3
3,4,1.5634719199411433,1,3
3,5,1.4142135623730951,1,3
3,6,1.5689290811054724,1,3
3,7,1.7511900715418263,1,3
3,8,1.137592917989042,1,3
3,9,0.9176629354822471,1,3
3,10,1.023532631438318,1,3
3,11,0.9780192938436515,1,3
3,12,0.8,1,3
3,13,0.6666666666666666,1,3
3,14,0.6432675209026769,1,3
4,1,4.618802153517006,0,3
4,2,3.5777087639996634,0,3
4,3,2.138089935299395,0,3
4,4,2.260776661041756,0,3
4,5,2.04494943258218,0,3
4,6,1.5689290811054724,0,3
4,7,1.4605934866804429,0,3
4,8,0.8401680504168059,0,3
4,9,1.0760551736979407,0,3
4,10,1.023532631438318,0,3
4,11,0.9780192938436515,0,3
4,12,0.938083151964686,0,3
4,13,0.769800358919501,0,3
4,14,1.0504514628777804,0,3
4,1,3.9157800414902435,1,3
4,2,3.5777087639996634,1,3
4,3,3.0237157840738176,1,3
4,4,2.6666666666666665,1,3
4,5,2.412090756622109,1,3
4,6,2.2188007849009166,1,3
4,7,2.065591117977289,1,3
4,8,1.3719886811400708,1,3
4,9,1.5559732104309982,1,3
4,10,3.491486243775878,1,3
4,11,0.9780192938436515,1,3
4,12,0.938083151964686,1,3
4,13,0.90267093384844,1,3
4,14,0.8709883407113854,1,3
5,1,4.618802153517006,0,3
5,2,3.5777087639996634,0,3
5,3,3.585685828003181,0,3
5,4,2.6666666666666665,0,3
5,5,2.412090756622109,0,3
5,6,2.2188007849009166,0,3
5,7,2.065591117977289,0,3
5,8,1.9402850002906638,0,3
5,9,1.8353258709644942,0,3
5,10,2.0701966780270626,0,3
5,11,1.4142135623730951,0,3
5,12,0.6928203230275509,0,3
5,13,0.6666666666666666,0,3
5,14,0.6432675209026769,0,3
5,1,3.9157800414902435,1,3
5,2,3.5777087639996634,1,3
5,3,3.0237157840738176,1,3
5,4,2.6666666666666665,1,3
5,5,2.412090756622109,1,3
5,6,2.2188007849009166,1,3
5,7,2.065591117977289,1,3
5,8,1.9402850002906638,1,3
5,9,2.176428750330035,1,3
5,10,2.0701966780270626,1,3
5,11,0.7223151185146152,1,3
5,12,0.6928203230275509,1,3
5,13,1.539600717839002,1,3
5,14,1.259447059844805,1,3
6,1,3.9157800414902435,0,3
6,2,2.0976176963403033,0,3
6,3,2.138089935299395,0,3
6,4,1.8856180831641267,0,3
6,5,1.7056057308448835,0,3
6,6,1.5689290811054724,0,3
6,7,1.2110601416389966,0,3
6,8,0.8401680504168059,0,3
6,9,0.7947194142390263,0,3
6,10,0.7559289460184544,0,3
6,11,1.179535649239177,0,3
6,12,0.6928203230275509,0,3
6,13,0.6666666666666666,0,3
6,14,0.6432675209026769,0,3
6,1,2.70801280154532,1,3
6,2,2.0976176963403033,1,3
6,3,1.7728105208558367,1,3
6,4,1.5634719199411433,1,3
6,5,1.2060453783110545,1,3
6,6,0.9607689228305228,1,3
6,7,0.8944271909999159,1,3
6,8,0.8401680504168059,1,3
6,9,0.7947194142390263,1,3
6,10,0.7559289460184544,1,3
6,11,0.7223151185146152,1,3
6,12,0.8,1,3
6,13,0.6666666666666666,1,3
6,14,0.6432675209026769,1,3
7,1,3.9157800414902435,0,3
7,2,3.03315017762062,0,3
7,3,2.5634797778466227,0,3
7,4,2.6666666666666665,0,3
7,5,2.412090756622109,0,3
