subject,roi,eccentricity_range,eccentricity_mean,frequency_class,psf,side
1,4,"(22.5, 23.5)",23.0,2,3.9565,0
1,4,"(22.5, 23.5)",23.0,3,5.5954,0
1,4,"(22.5, 23.5)",23.0,4,5.5954,0
1,4,"(23.5, 24.5)",24.0,1,5.3333,0
1,4,"(23.5, 24.5)",24.0,2,3.7917,0
1,4,"(23.5, 24.5)",24.0,3,5.3622,0
1,4,"(23.5, 24.5)",24.0,4,5.3622,0
1,4,"(24.5, 25.5)",25.0,1,5.12,0
1,4,"(24.5, 25.5)",25.0,2,2.56,0
1,4,"(24.5, 25.5)",25.0,3,5.1477,0
1,4,"(24.5, 25.5)",25.0,4,5.1477,0
1,5,"(1.5, 2.5)",2.0,1,8.0,0
1,5,"(1.5, 2.5)",2.0,2,3.0,0
1,5,"(1.5, 2.5)",2.0,3,4.2426,0
1,5,"(1.5, 2.5)",2.0,4,4.2426,0
1,5,"(2.5, 3.5)",3.0,1,5.3333,0
1,5,"(2.5, 3.5)",3.0,2,2.0,0
1,5,"(2.5, 3.5)",3.0,3,2.8284,0
1,5,"(2.5, 3.5)",3.0,4,2.8284,0
1,5,"(3.5, 4.5)",4.0,1,4.0,0
1,5,"(3.5, 4.5)",4.0,2,1.5,0
1,5,"(3.5, 4.5)",4.0,3,2.1213,0
1,5,"(3.5, 4.5)",4.0,4,1.4142,0
1,5,"(4.5, 5.5)",5.0,1,3.2,0
1,5,"(4.5, 5.5)",5.0,2,4.6,0
1,5,"(4.5, 5.5)",5.0,3,1.6971,0
1,5,"(4.5, 5.5)",5.0,4,1.6971,0
1,5,"(5.5, 6.5)",6.0,1,7.5,0
1,5,"(5.5, 6.5)",6.0,2,3.8333,0
1,5,"(5.5, 6.5)",6.0,3,1.4142,0
1,5,"(5.5, 6.5)",6.0,4,1.4142,0
1,5,"(6.5, 7.5)",7.0,1,2.2857,0
1,5,"(6.5, 7.5)",7.0,2,0.8571,0
1,5,"(6.5, 7.5)",7.0,3,1.2122,0
1,5,"(6.5, 7.5)",7.0,4,1.2122,0
1,5,"(7.5, 8.5)",8.0,1,2.0,0
1,5,"(7.5, 8.5)",8.0,2,16.0,0
1,5,"(7.5, 8.5)",8.0,3,1.0607,0
1,5,"(7.5, 8.5)",8.0,4,1.0607,0
1,5,"(8.5, 9.5)",9.0,1,14.2222,0
1,5,"(8.5, 9.5)",9.0,2,14.2222,0
1,5,"(8.5, 9.5)",9.0,3,14.2993,0
1,5,"(8.5, 9.5)",9.0,4,14.2993,0
1,5,"(9.5, 10.5)",10.0,1,1.6,0
1,5,"(9.5, 10.5)",10.0,2,12.8,0
1,5,"(9.5, 10.5)",10.0,3,0.8485,0
1,5,"(9.5, 10.5)",10.0,4,12.8693,0
1,5,"(10.5, 11.5)",11.0,1,11.6364,0
1,5,"(10.5, 11.5)",11.0,2,2.0909,0
1,5,"(10.5, 11.5)",11.0,3,11.6994,0
1,5,"(10.5, 11.5)",11.0,4,5.7854,0
1,5,"(11.5, 12.5)",12.0,1,5.3333,0
1,5,"(11.5, 12.5)",12.0,2,10.6667,0
1,5,"(11.5, 12.5)",12.0,3,10.7245,0
1,5,"(11.5, 12.5)",12.0,4,10.7245,0
1,5,"(12.5, 13.5)",13.0,1,1.2308,0
1,5,"(12.5, 13.5)",13.0,2,9.8462,0
1,5,"(12.5, 13.5)",13.0,3,0.4351,0
1,5,"(12.5, 13.5)",13.0,4,9.8995,0
1,5,"(13.5, 14.5)",14.0,1,9.1429,0
1,5,"(13.5, 14.5)",14.0,2,9.1429,0
1,5,"(13.5, 14.5)",14.0,3,9.1924,0
1,5,"(13.5, 14.5)",14.0,4,9.1924,0
1,5,"(14.5, 15.5)",15.0,1,1.0667,0
1,5,"(14.5, 15.5)",15.0,2,8.5333,0
1,5,"(14.5, 15.5)",15.0,3,0.3771,0
1,5,"(14.5, 15.5)",15.0,4,8.5796,0
1,5,"(15.5, 16.5)",16.0,1,1.0,0
1,5,"(15.5, 16.5)",16.0,2,1.4375,0
1,5,"(15.5, 16.5)",16.0,3,0.5303,0
1,5,"(15.5, 16.5)",16.0,4,8.0433,0
1,5,"(16.5, 17.5)",17.0,1,0.9412,0
1,5,"(16.5, 17.5)",17.0,2,7.5294,0
1,5,"(16.5, 17.5)",17.0,3,0.4991,0
1,5,"(16.5, 17.5)",17.0,4,0.3328,0
1,5,"(17.5, 18.5)",18.0,1,0.8889,0
1,5,"(17.5, 18.5)",18.0,2,0.4444,0
1,5,"(17.5, 18.5)",18.0,3,0.3143,0
1,5,"(17.5, 18.5)",18.0,4,0.4714,0
1,5,"(18.5, 19.5)",19.0,1,3.3684,0
1,5,"(18.5, 19.5)",19.0,2,6.7368,0
1,5,"(18.5, 19.5)",19.0,3,1.1909,0
1,5,"(18.5, 19.5)",19.0,4,6.7733,0
1,5,"(19.5, 20.5)",20.0,1,3.2,0
1,5,"(19.5, 20.5)",20.0,2,6.4,0
1,5,"(19.5, 20.5)",20.0,3,6.4347,0
1,5,"(19.5, 20.5)",20.0,4,6.4347,0
1,5,"(20.5, 21.5)",21.0,1,6.0952,0
1,5,"(20.5, 21.5)",21.0,2,6.0952,0
1,5,"(20.5, 21.5)",21.0,3,6.1283,0
1,5,"(20.5, 21.5)",21.0,4,6.1283,0
1,5,"(21.5, 22.5)",22.0,1,5.8182,0
1,5,"(21.5, 22.5)",22.0,2,5.8182,0
1,5,"(21.5, 22.5)",22.0,3,5.8497,0
1,5,"(21.5, 22.5)",22.0,4,2.8927,0
1,5,"(22.5, 23.5)",23.0,1,5.5652,0
1,5,"(22.5, 23.5)",23.0,2,5.5652,0
1,5,"(22.5, 23.5)",23.0,3,5.5954,0
1,5,"(22.5, 23.5)",23.0,4,5.5954,0
1,5,"(23.5, 24.5)",24.0,1,5.3333,0
1,5,"(23.5, 24.5)",24.0,2,5.3333,0
1,5,"(23.5, 24.5)",24.0,3,5.3622,0
1,5,"(23.5, 24.5)",24.0,4,5.3622,0
1,5,"(24.5, 25.5)",25.0,1,5.12,0
1,5,"(24.5, 25.5)",25.0,2,5.12,0
1,5,"(24.5, 25.5)",25.0,3,5.1477,0
1,5,"(24.5, 25.5)",25.0,4,5.1477,0
1,6,"(2.5, 3.5)",3.0,1,42.6667,0
1,6,"(2.5, 3.5)",3.0,2,42.6667,0
1,6,"(2.5, 3.5)",3.0,3,30.1699,0
1,6,"(2.5, 3.5)",3.0,4,30.1699,0
1,6,"(3.5, 4.5)",4.0,1,32.0,0
