,roi,side,eccen,subject,preferred_period,sigma
140,1,0,9.5,7,1.6644030449521503,2.7143863665588785
141,1,0,10.5,7,1.9317537866952856,2.9653498132068377
142,1,0,11.5,7,2.2292789834046243,3.4558103843679966
143,1,1,1.5,7,0.4991698194783254,0.7192621864731004
144,1,1,2.5,7,0.5732940769661903,1.1801698573936636
145,1,1,3.5,7,0.6416240223874325,1.2162794785851494
146,1,1,4.5,7,0.8395883298909951,1.751251098259475
147,1,1,5.5,7,0.9614170557204283,2.114445076059939
148,1,1,6.5,7,1.0309946981861535,2.368055929488773
149,1,1,7.5,7,1.1968877550318635,2.665048912951821
150,1,1,8.5,7,1.358760240660414,3.084164702516841
151,1,1,9.5,7,1.7055189658389402,3.236285781631103
152,1,1,10.5,7,1.847022293027813,3.0067493483318506
153,1,1,11.5,7,1.8837654349536856,3.2493103047931826
154,1,0,1.5,8,0.5415873349481198,1.682502923216544
155,1,0,2.5,8,0.4630102906665645,1.5440424985542731
156,1,0,3.5,8,0.4575078853730885,1.8922887071967125
157,1,0,4.5,8,0.5993176370073714,2.1976982418606457
158,1,0,5.5,8,0.7070842593357592,2.0992889401527144
159,1,0,6.5,8,0.8276155713664233,2.3829810983604856
160,1,0,7.5,8,0.9032258154130556,2.66840173820265
161,1,0,8.5,8,1.0792208863689063,2.0511646822772245
162,1,0,9.5,8,1.1757581912957744,1.433969803571701
163,1,0,10.5,8,1.141769266674699,1.228459421930642
164,1,0,11.5,8,1.0763178777387332,1.0872850354731551
165,1,1,1.5,8,0.5562930185475142,1.146862389434368
166,1,1,2.5,8,0.4176538553103855,1.32303777504793
167,1,1,3.5,8,0.2742895907681559,1.892864796263639
168,1,1,4.5,8,0.5356714155372563,2.24551159286499
169,1,1,5.5,8,0.6983873205563954,2.6130960936347645
170,1,1,6.5,8,0.8470350090047895,2.947839921171015
171,1,1,7.5,8,0.9800998107119274,3.09542826966693
172,1,1,8.5,8,1.18759819472654,2.7605124160969
173,1,1,9.5,8,1.1044076733801926,2.5327252173423767
174,1,1,10.5,8,1.240447351147999,2.384915203347311
175,1,1,11.5,8,1.034233161639031,1.2527974439928165
176,1,0,1.5,9,31.999999995513583,1.1878329757976052
177,1,0,2.5,9,0.970672015555938,1.9229794015089672
178,1,0,3.5,9,0.7978913712133683,1.8318445292393584
179,1,0,4.5,9,0.7992178691528423,1.893432214530795
180,1,0,5.5,9,0.9403716740409304,2.2003460291893253
181,1,0,6.5,9,1.0323403894561287,2.4656175264427738
182,1,0,7.5,9,1.2703906943739764,2.504628473470191
183,1,0,8.5,9,1.4345013866429288,2.680318362934073
184,1,0,9.5,9,1.3976784615393558,2.721429078280926
185,1,0,10.5,9,1.3519118370885446,2.7170482825645257
186,1,0,11.5,9,1.597065239520656,3.174864055080848
187,1,1,1.5,9,0.494143065065751,2.0462293796675297
188,1,1,2.5,9,0.4221931431661715,1.988876665555514
189,1,1,3.5,9,0.5595248754802064,1.730877395519396
190,1,1,4.5,9,0.7289960966766093,1.7767788412595036
191,1,1,5.5,9,0.8474966571409965,1.6903798392362144
192,1,1,6.5,9,0.9784798355061404,1.8643468471316549
193,1,1,7.5,9,1.045239241828636,1.9749593244403856
194,1,1,8.5,9,1.1579202121568253,2.3111004503192127
195,1,1,9.5,9,1.3304838610033003,2.3979086940580943
196,1,1,10.5,9,1.4478524385853635,2.719631411489986
197,1,1,11.5,9,1.6165941674831814,3.1933854833807587
198,1,0,1.5,10,0.487225497823111,0.6597407723410271
199,1,0,2.5,10,0.6619053299215104,0.2845580680355145
200,1,0,3.5,10,0.740471456834684,0.7016123792965798
201,1,0,4.5,10,0.6953222924302366,0.7192256138716118
202,1,0,5.5,10,0.9406365680513183,1.0163613233666915
